iter	Logloss
0	0.6746627197
1	0.6584348145
2	0.6494087524
3	0.6466126709
4	0.6431968384
5	0.6267614746
6	0.614713562
7	0.6043322754
8	0.5875820923
9	0.5794230957
10	0.570152832
11	0.5632629395
12	0.5504946289
13	0.5489492798
14	0.5442659912
15	0.5372509766
16	0.5270806274
17	0.5224776001
18	0.5162964478
19	0.5094060669
20	0.4999456482
21	0.4928422546
22	0.4870752869
23	0.4826228333
24	0.4723766479
25	0.4601895752
26	0.4581400757
27	0.4533764038
28	0.4486706848
29	0.4456858215
30	0.4392836304
31	0.435034729
32	0.4308689575
33	0.4239682007
34	0.4180169678
35	0.4134037781
36	0.410171814
37	0.4037168579
38	0.3978679504
39	0.3917406311
40	0.3859186707
41	0.3817083435
42	0.3747541809
43	0.3694660645
44	0.3621697693
45	0.3561445313
46	0.3505332642
47	0.3476990967
48	0.3433275757
49	0.3392815552
50	0.3361544495
51	0.3348476563
52	0.3315105286
53	0.3273486938
54	0.3231090698
55	0.3189794006
56	0.3148955688
57	0.3127275391
58	0.3071798706
59	0.3035219116
60	0.3006819458
61	0.2946883545
62	0.2903503418
63	0.2872376709
64	0.2845481567
65	0.2807389526
66	0.2788010254
67	0.2747576904
68	0.2731728516
69	0.268469574
70	0.2650975342
71	0.2631239624
72	0.2608891602
73	0.2587137756
74	0.2563135986
75	0.2524386902
76	0.2496721954
77	0.2475069885
78	0.2442467499
79	0.2414890137
80	0.2383249207
81	0.2353290253
82	0.2335593262
83	0.231206665
84	0.2293925171
85	0.2257601624
86	0.2236256714
87	0.221588028
88	0.2197092896
89	0.2179452972
90	0.2154924469
91	0.2126631165
92	0.2109119873
93	0.2089461823
94	0.2062118225
95	0.2042953339
96	0.2020707703
97	0.1999189758
98	0.1974489441
99	0.1952247009
100	0.1938604889
101	0.1917058105
102	0.1900615387
103	0.1883148041
104	0.1865568085
105	0.1848968658
106	0.1833128967
107	0.1812077942
108	0.1788148499
109	0.1752463684
110	0.1725567017
111	0.1703041382
112	0.1688059845
113	0.1664988708
114	0.1642262878
115	0.1618681488
116	0.1603625183
117	0.1593750305
118	0.1575238037
119	0.1558595581
120	0.1545668945
121	0.1531158752
122	0.1521338501
123	0.1510874023
124	0.1497032166
125	0.1483929138
126	0.1470812378
127	0.1460382233
128	0.1446625519
129	0.1432485809
130	0.1416785583
131	0.1400541077
132	0.1387207947
133	0.1377888489
134	0.1367906799
135	0.1356833801
136	0.1338867798
137	0.1324012451
138	0.1310599518
139	0.1301324463
140	0.129244751
141	0.1283957672
142	0.1274223099
143	0.1259422379
144	0.1249813843
145	0.1237397385
146	0.1226973572
147	0.1217361603
148	0.1211642303
149	0.1198770599
150	0.1193036957
151	0.1183648071
152	0.1176002731
153	0.1168905029
154	0.1155261383
155	0.1145387421
156	0.1137713623
157	0.1131301422
158	0.112275116
159	0.111534256
160	0.1106897583
161	0.1101339264
162	0.1092872009
163	0.1084989319
164	0.1077277145
165	0.1067698517
166	0.1061437073
167	0.1054039383
168	0.1046338425
169	0.1032953339
170	0.1027717133
171	0.1018385468
172	0.1010449142
173	0.1002758713
174	0.09975697327
175	0.09863240051
176	0.09788043213
177	0.09725185394
178	0.09633647156
179	0.0955375061
180	0.09470111847
181	0.09393318939
182	0.09350616455
183	0.09244075775
184	0.09144517517
185	0.09084918213
186	0.09021911621
187	0.08934127808
188	0.08890650177
189	0.08833753967
190	0.0879543457
191	0.08735165405
192	0.08632237244
193	0.08567776489
194	0.08513644409
195	0.08427032471
196	0.08418041229
197	0.08409043884
198	0.08318638611
199	0.08211550903
200	0.08140283203
201	0.08068481445
202	0.08018612671
203	0.07939280701
204	0.07866810608
205	0.07822786713
206	0.07756563568
207	0.07690393066
208	0.07609253693
209	0.07526792908
210	0.0747253418
211	0.07454878235
212	0.07435827637
213	0.07390384674
214	0.0732754364
215	0.07242821503
216	0.07149062347
217	0.07141551208
218	0.07072792053
219	0.0703192749
220	0.07020307922
221	0.06979208374
222	0.06934936523
223	0.06880734253
224	0.06822823334
225	0.06758107758
226	0.06685887146
227	0.0665918808
228	0.0660779953
229	0.06554476929
230	0.06502558899
231	0.06470869446
232	0.06439231873
233	0.06410975647
234	0.06348778915
235	0.06299319458
236	0.06245005417
237	0.06182310104
238	0.06144968033
239	0.06128544617
240	0.06091474915
241	0.06083213806
242	0.06077513885
243	0.06053203964
244	0.06023951721
245	0.05988323975
246	0.05952835464
247	0.05927437592
248	0.05888482666
249	0.05864107513
250	0.05818135834
251	0.0578833313
252	0.05734389877
253	0.05674624634
254	0.05670439148
255	0.05639144135
256	0.0560982933
257	0.05588529205
258	0.05559194183
259	0.05532157898
260	0.05487591553
261	0.05440919495
262	0.05416072083
263	0.05366015625
264	0.05347338104
265	0.0531831398
266	0.05278990173
267	0.05234728241
268	0.05210538101
269	0.05181028748
270	0.05150370026
271	0.05121877289
272	0.05104276657
273	0.05071224213
274	0.05038995361
275	0.05016114807
276	0.04978553772
277	0.04958338928
278	0.04933528519
279	0.04901184082
280	0.04871867371
281	0.04843436432
282	0.04822980881
283	0.0479275589
284	0.0475874939
285	0.04732089996
286	0.04700323486
287	0.04674224091
288	0.04642045975
289	0.04617755127
290	0.04590847397
291	0.04569375229
292	0.04535806656
293	0.04521464539
294	0.04502417374
295	0.0449786377
296	0.04480289078
297	0.04437642288
298	0.04412701416
299	0.04404482269
300	0.04366632462
301	0.04340373611
302	0.04305854416
303	0.04261924744
304	0.04238333893
305	0.04204340363
306	0.04174649048
307	0.04144879532
308	0.04115699005
309	0.04097244263
310	0.04080442047
311	0.04068074036
312	0.04043229675
313	0.04028454971
314	0.03995986557
315	0.03967609406
316	0.03936083603
317	0.0390819397
318	0.0388567276
319	0.03868296432
320	0.0385064888
321	0.03829528809
322	0.03810447693
323	0.03768371201
324	0.03747327423
325	0.03734136963
326	0.03720278931
327	0.03706981659
328	0.03696279526
329	0.03670004654
330	0.03648010254
331	0.03632603836
332	0.03614913177
333	0.03602018356
334	0.03587074661
335	0.03567693329
